Longitude [Deg. E],Latitude [Deg. N],Elevation [m],Apatite (U-Th)/He age [Ma],Standard error [Ma],Zircon (U-Th)/He age [Ma],Standard deviation [Ma],Muscovite Ar/Ar age [Ma],Error [Ma]
89.82,27.52181,1700,-9999,0,6.15,0.08,-9999,0
89.76088,27.48373,2910,5.43,0.57,-9999,0,-9999,0
89.41996,27.46156,2339,-9999,0,6.6,0.37,-9999,0
89.41937,27.45803,2480,5.13,0.12,-9999,0,-9999,0
89.47229,27.34339,2320,-9999,0,6.95,0.27,-9999,0
89.74973,27.49078,3123,-9999,0,6.11,0.33,-9999,0
89.695,27.44078,2640,4.96,0.4,-9999,0,-9999,0
89.42762,27.38741,2500,-9999,0,7.18,1.01,-9999,0
89.55313,27.07518,2230,6.32,0.54,-9999,0,-9999,0
89.55054,27.1306,2550,6.76,0.34,-9999,0,-9999,0
89.54089,27.15421,2470,6.54,0.42,-9999,0,-9999,0
89.39972,27.44222,2400,5.14,0.12,6.5,0.39,-9999,0
89.459331,26.907234,1751,3.73,0.69,9.74,1.07,-9999,0
89.552425,27.189091,2153,-9999,0,7.7,0.07,-9999,0
89.748838,27.490287,3113,5.45,0.8,-9999,0,-9999,0
89.796,27.5124,1953,2.89,0.22,-9999,0,-9999,0
89.51372222,28.02333333,4086,5.57,3.32,-9999,0,-9999,0
89.805783,28.1714,4400,4.6,1.35,8.67,0.31,-9999,0
89.58826,28.06487,4145,3.22,0.45,-9999,0,-9999,0
89.57497,27.33758,2190,-9999,0,6.6,0.37,-9999,0
89.54175,27.152,2282,-9999,0,8.04,0.19,-9999,0
89.46922,26.91692,1871,-9999,0,9.12,0.26,-9999,0
89.20083333,26.89519444,1528,-9999,0,8.58,0.12,-9999,0
89.39319444,26.85455556,366,-9999,0,3.36,0.05,-9999,0
89.7222,28.072933,3773,-9999,0,10.44,0.61,-9999,0
89.30901,27.36241,2977,-9999,0,6.92,0.28,-9999,0
89.588778,28.065833,4182,5.67,0.84,-9999,0,-9999,0
89.5485,27.3146,2121,6.02,0.26,-9999,0,-9999,0
89.748233,27.735217,1669,2.71,0.23,-9999,0,-9999,0
89.409061,26.862183,650,-9999,0,6.5,0.86,-9999,0
89.72347,28.144911,4189,3.61,0.53,-9999,0,-9999,0
89.574151,27.027369,1864,4.91,0.47,7.74,0.44,-9999,0
89.7626,27.490767,2852,6.49,1.21,-9999,0,-9999,0
89.68955,28.109461,3874,2.56,0.3,-9999,0,-9999,0
89.423233,27.449,2283,4.93,0.13,-9999,0,-9999,0
91.3,27.1,2540,-9999,0,-9999,0,15.12,0.31
91.3,27.1,2480,-9999,0,-9999,0,11.5,0.24
91.3,27.1,1750,-9999,0,-9999,0,14.1,0.2
91.3,27.1,1060,-9999,0,-9999,0,11.61,0.25
